,address,lat,long
262,중원구 산성대로 476번길 12,37.4528497,127.1619932
263,경기 용인시 처인구 삼가동 556,37.2408501,127.1775091
264,처인구 백옥대로 1082번길 18,37.2314883,127.2114648
265,경기도 용인시 처인구 고림로 81 ,37.2403912,127.2145364
266,경기 파주시 금촌동(금촌1동) 953-1 파주시보건소 ,,
267,경기도 파주시 중앙로 207,37.7550649,126.7801503
268,경기도 파주시 시청로 6,37.7579969,126.7748346
269,경기 수원시 팔달구 교동 56-1번지,37.2714521,127.0124162
270,경기도 수원시 팔달구 중부대로 93 (지동),37.2779855,127.0274271
271,경기도 수원시 팔달구 중부대로 165 (우만동),37.2781302,127.0344741
272,경기 평택시 비전동 850(평택5로 56),36.9908091,127.1118297
273,경기도 평택시 중앙로 338,36.9906277,127.1204114
274,경기도 평택시 평택2로20번길 3 ,36.9930388,127.0890776
275,경기도 평택시 평택로 284,37.0084078,127.0743384
276,경기 포천시 신읍동 164-3 (포천시보건소),37.9007297,127.2012341
277,경기도 포천시 포천로 1648,37.9033163,127.19828
278,경기도 포천시 소흘읍 호국로 567,37.8233306,127.1387637
279,경기도 하남시 신장2동 520,37.5391098,127.2146988
280,경기 화성시 동탄산단7길 60,37.1768036,127.0864232
281,경기 화성시 화산북로 21 ,37.2101716,127.0079849
282,경기 화성시 향남읍 발안로 5,37.1312957,126.9108361
283,경기 화성시 큰재봉길 7,37.2166284,127.0801288
284,경기도 화성시 남양읍 시청로160번길 46-13,37.1992313,126.8257097
285,경기 수원시 영통구 영통동 영통로 396,,
286,수원시 영통구 월드컵로164,37.2793927,127.0476764
287,경기 평택시 서정동 산 12(서정로 295),37.0662216,127.0660424
288,평택시 송탄로 33,37.048256,127.057003
289,경기 고양시 일산동구 마두동 1010번지,37.6563957,126.7759249
290,일산동구 일산로100,37.6454754,126.7930401
291,고양시 일산동구 동국로 27(식사동),37.6763969,126.8064233
292,경기도 고양시 일산동구 고양대로760,37.6819744,126.7800452
293,경기도 용인시 수지구 풍덕천1동 720번지,37.3221686,127.0974688
294,"경기 남양주시 진접읍 금곡리 1085, 풍양보건소",37.7113939,127.1889163
295,경기도 남양주시 오남읍 양지로 47-55 ,37.6823474,127.2043933
296,경기도 남양주시 진접읍 봉현로 21 ,37.7154268,127.179882
297,경기 연천군 전곡읍 은대리 577-36,38.02333,127.0607273
298,"강원 강릉시 내곡동 413 강릉시보건소, 가동 강릉시보건소",37.7427669,128.8828259
299,방동길 38,37.8184325,128.8578411
